personas,act_response,context
"[User 1 persona]: ['god has always been put first in my life.'
 ""i'm addicted to the hit show empire.""]",Do you have kids of  your own?' 'We have two boys.,"User1: Awww I think it is sweet that he is adopting children. I think that everyone deserves a home and a family. Do they have room for them all?
User2: He sure does. Every one of the children he's adopted is still under the age 14 and has his or her own room. It is a big house.
User1: Wow! I would love to have the space to adopt some kids of my own."
[User 1 persona]: ['i like getting packages in the mail.' 'i love christmas.'],So you normally view the newspaper on your phone?,"User1: I tried to buy a newspaper this morning but it was sold out.
User2: buying newspaper? 21st century? sold out? whatt that's a first for me, here they practically give it away for free and we still have many more left, maybe you can use your phone or tablet to view it? 
User1: My phone died and I could not find the charger for my phone so I wanted to get a newspaper."
"[User 1 persona]: [""i've one sister and a niece and nephew.""
 'i m almost finished with my degree.']",cool ! do you find much time for riding ?,"User1: oh gosh, thats terrible. hope you weren't hurt?? have you ever been to watch eventing??
User2: Only my pride was hurt.  I have a friend who does some sort of cavalry tests to show riding skills.  I've watched her.
User1: i ride in my spare time as much as i can."
"[User 1 persona]: ['my twin brother and i share an apartment.'
 'i volunteer at the local humane society.']",Thank you for your service! What was your rating?,"User1: Do you enjoy it?
User2: Yes it has its up and downs, I love to work on nuclear deterrence for my country, its where we use of submarine-launched ballistic missiles. But most of them are just tests. 
User1: Yeah I served twenty years in the navy.' 'I was a warrant officer CW03."
[User 1 persona]: ['i like to run so that i can clear my head.' 'i like to drink green tea.'],Yeah i usually run about 3 miles every day. ,"User1: yes it is very expensive though . how was your day ?
User2: its been good . i'm about to go on a run
User1: Have you ever ran a mile?"
"[User 1 persona]: ['i like to write my own songs.'
 ""i've taken formal music lessons since i was 5.""]","I also have some toothache right now, dental pain, and I am afraid to go. lol","User1: I have a dentist appointment next week. ' 'Ut oh.. are you nervous?
User2: I am more nervous about losing my hear"
[User 1 persona]: ['my favorite drink is caramel cappuccino.' 'i work in a coffee shop.'],I can drink coffee all day long. Even on days that are hot!,"User1: Yeah, for me I just have them as a treat. I'm incredibly sensitive to caffeine. Do you know when people started making cappuccinos? 
User2: Well cappuccinos is a type of coffee that was created in Italy and was traditionally prepared with double espressos.
User1: I do not drink coffee much."
[User 1 persona]: ['my eyes are bright blue.' 'i have an above average iq.'],Don't you have something better to do with your time? Those meetings must be boring,"User1: No just a city council, I just go to open meetings. Sometimes, new commercial development agenda items are discussed.
User2: Does your city council usually have a large agenda or list of items to be acted on?
User1: always. this city is not gonna build it self "
[User 1 persona]: ['i am currently single.' 'my favorite season is spring.'],That's such a bummer! They could have studied at your birthday dinner...,"User1: My friends canceled on my birthday dinner. 
User2: Oh no.. why would they do that
User1: We all have a test tomorrow and they hadn't studied enough."
"[User 1 persona]: ['my hobbies are sleeping and playing the guitar.'
 'i want to be in a band someday.']",I work with children!,"User1: maybe you can audition for ours .
User2: maybe . i ales most of the day because my job is quite demanding .
User1: What do you do for work?' 'Really? Me too! "
"[User 1 persona]: ['both of my parents are doctors.'
 ""i do community theater when i'm not in school.""]",They are so graceful and powerful. I would love to have horses.,"User1: That'll be handy in my biology class I guess, but what should I know about the actual horse? What's the best way to shelter and feed one?
User2: I dont know about that however, horses anatomy enables them to make use of speed to escape predators and they have a well-developed sense of balance and a strong fight or flight response.
User1: I need to learn as much as I can about horses because I want my  own stable."
"[User 1 persona]: ['my father was also in the military.'
 'i m going to school to get my bachelor s degree.']",That is so sad to hear. It is good that you know what your father loved though! Do you know much about your mother?,"User1: my father loved history too . him and mother died in a plane crash .
User2: oh wow . that is awful to hear . i am so sorry .
User1: Its okay. That tragedy occurred 20 years ago. "
"[User 1 persona]: ['i paddle board on my days off.'
 'i am a nurse and work in an emergency room at a busy hospital.']",Awesome!  So glad they're still rocking after all these years!,"User1: Yeah, I've been listening to them for the past year but I don't know much about them. Do you know when they formed?
User2: Sure, they were formed in 1981 by drummber Lars Ulrich with guitarist/vocalist James Hetfield. They are still making music today!
User1: Wow my favorite band is Metallica and they are still performing too "
[User 1 persona]: ['favorite color is green.' 'i like cats.'],"Actually not! It used to be called ""makerouns"" though I""m not sure why.","User1: ok ,where is the earliest history of mac and cheese?
User2: I'm not sure of the exact origins, but I read somewhere that the dish was recorded in a medieval English cookbook in the 14th century!
User1: Was it as popular as it is now?"
"[User 1 persona]: ['i work 60 hours a week.'
 'sometimes i think i should get out and exercise more.']",it was a lot of school but i like it . hope my daughter does follows .,"User1: It has really helped me with my daughter, she had a few educational setbacks, but is doing much better thanks to the method 
User2: I read the history about Maria Montessori.
User1: yeah. anything interesting? "
[User 1 persona]: ['i am very social.' 'i exercise.'],Jay-Z' 'lol,"User1: Rap music? I love the flows and the swaggs.What's your favorite rap star?
User2: Eminem is one of my favorites honestly. He has great ""content"", ""flow"", as well as ""delivery"" which are all very important.
User1: That's all important. He's okay. Who else do you like?"
"[User 1 persona]: ['my favorite color is red.'
 'i watched the eclipse without using proper eye protection.']",its really heart breaking. i'm so glad to have made good memories. it would be tragic if i had regrets,"User1: About a year ago I lost my grandmother to cancer. I was really close to her.
User2: I'm so sorry. I recently just lost both of my grandparents within a year. I know how you feel.
User1: I'm really sorry to hear that. Losing two family members in such a short timespan is really heartbreaking. "
"[User 1 persona]: [""i do not have too many friends in the us yet , but i'm going to summer camp and i hope to make friends then ! i also think that i may make friends as soccer in the fall.""
 'i like to play soccer , draw and read asteria.']","No, that may throw you off by a whole semester!  I would be really mad if I were you!","User1: All of the classes I wanted to take are full
User2: Dang, that sucks. Did you find another class that is open?
User1: Not that I wanted to take... maybe I'll just take the semester off..."
[User 1 persona]: ['its good to eat a lot of veggies.' 'i m lazy and pork tastes good.'],sounds great ! my friends and i are heading out for lunch later !,"User1: I was hoping to go out with my friend's this weekend, but it was raining all weekend.
User2: It's been raining a lot here, too, I know that feeling! Did you manage to find something interesting to do inside instead?
User1: Just decided to watch the Saints game' ""That's cool, what's the plan."
[User 1 persona]: ['i ran for political office in 2004.' 'i build my own computers.'],"I understand, but at least you were prepared and you feel accomplished.","User1: I had to give a speech one time in school and I was very nervous for it.
User2: That can be nerve wrecking. How did you do?
User1: anything i do i try to do great at it. i'd say i gave it my best. i was satisfied "
"[User 1 persona]: [""i'll one day own a ferret."" 'i still love to line dry my clothes.']","He thought I was cute and old fashioned since I wore a locket. I still love to line dry my clothes! Nothing better, I say!","User1: I've been working hard as a waiter this summer. Kind of fun since it's helped me develop social skills.. One person even tipped me $25 when their order was only like $8. Caught me off-guard that someone wanted to be that nice to me
User2: I had some one tip me a $25 chip at the casino after seeing a pic of my daughter in my locket. I cried lol
User1: It's amazing how a little kindness from strangers can go such a long way."
"[User 1 persona]: [""i've a lot of allergies."" 'my favorite type of music is metal.']",Are you a fan?' 'Who are favorites?,"User1: Who are your favorite bands?
User2: I'm a huge fan of Led Zeppelin and Black Sabbath. Both were founded in 1968!
User1: led zepelin. they are legendary' 'im  a fan of geat bass guitar players"
"[User 1 persona]: ['i am strong.' ""i'm young.""]",that's a good option. you could really save ,"User1: Was able to negotiate the rent of my apartment back down to a better rate, after they had raised it for the new year. I was kind of worried I'd have to find a new place, but now I don't have to move anything and go through that annoying process
User2: That's very lucky of you, what do you plan on doing now?
User1: Probably just amp up the place and re-sell it. I can move in with my girlfriend"
"[User 1 persona]: [""i've a cat named felix and a small terrer names emmy.""
 'i live in a small city.']",I am used to living in a small city I've never lived anywhere else. How many people are in your town?,"User1: my dad grew up in a town with less than 100 population .
User2: i think there may be seventy here . maybe a few more .
User1: Maybe"
[User 1 persona]: ['i own a boat.' 'i like to go fishing on the lake.'],yea i got a great deal actually. have you been on a vessel,"User1: Oh how cool. We used to go fishing a lot but haven't lately.
User2: Well Ill invite you next time. I bought a recreational fishing vessel just in time before summer ends. 
User1: that's great. did you get a good deal?"" 'i have not. is it safe?"
"[User 1 persona]: [""i've shot a lion."" 'i cry when i watch gone with the wind.']",Yes they are great. I love just getting in the car and stoppingonly when I am in another place.,"User1: I was so nervous and ready to start my move. It was such a long drive. 
User2: Did you get it done
User1: Yes, finally. Do you enjoy long drives?"
[User 1 persona]: ['i like to wear red.' 'i use red lipstick.'],Wow! That is amazing! You are so lucky. I am not that strong. It must have been scary.,"User1: I was grateful I was live after a car wreck.' 'I am glad your ok.
User2: i work as a personal trainer , 5 days a week so i had enough strength to pull myself out of the window before the engine exploded."
[User 1 persona]: ['i pay my employees minimum wage.' 'i am married with one child.'],"Yes, if a whistleblower tells, the company can get in trouble. They can get big fines for exploitation of workers.","User1: That sounds terrible! Does that type of practice still occur?
User2: Yes it does sadly.  Another fact is that it is said to be unfairly taking advantage of another person because of his or her inferior position 
User1: Wow. is there repercussions "
"[User 1 persona]: ['i live in portland , maine.' 'i live alone.']",Yes I have wanted to be an engineer for many years.,"User1: i'm a scientist . i wish i had more time for hiking .
User2: oh , environmental engineer by any chance , like me .
User1: No, I work with chemicals. Did you always want to be an engineer?"
"[User 1 persona]: [""i'm a model building enthusiast.""
 'i m originally from london , england.']",I do like the Netflix originals. I also love the British shows as I am from London. You will love Netflix. There are so many choices!,"User1: I love netflix, it is awesome, I just subscribed the ther day!
User2: Cool, it has streaming media and also DVD by mail. I only watch online.
User1: Netflix original shows are the best in my opinon "
"[User 1 persona]: [""i've my own channel."" 'i enjoy making lets plays.']",I enjoy training to rock climb,"User1: cool . i usually go rock climbing . i should put on youtube
User2: that sounds like an exciting hobby .
User1: It definitely is. What do you like to do?"
[User 1 persona]: ['i moved to america when i was 14.' 'i like to cook.'],"Oh ok, where is your family from?","User1: well that sucks . doesn't seem logical with how good you are a typing in english
User2: i speak both english and italian .
User1: i speak english only"
"[User 1 persona]: [""i'm terrified of heights."" 'i believe that mermaids are real.']",Not really! It's mostly myself who gets scared.,"User1: lol . that is good to know . like doing anything in particular with your mom ? 3
User2: well i go to tall places , high places , really scare me , i get terrified !
User1: Does your mom get scared?' 'Im not a big fan of heights myselg!"
[User 1 persona]: ['i love to tell jokes.' 'i work in a factory.'],"I can't wait!"" ""White belt. I've just started.","User1: you have to be very careful because they can be poisonous paps knows it all
User2: that is true well got to go , take care
User1: Oh ok well I hope to see you later for karate"
"[User 1 persona]: ['i love eating barbeque sandwiches and pizza puffs.'
 'i enjoy hanging out with my imaginary friends as a hobby.']","I love eating barbeque sandwiches. We served them at my birthday party, along with pizza puffs. I love science too, but not as much as pizza puffs.","User1: wow . you live anywhere near the beatles ? they are my fav
User2: i just turned 19 last week
User1: I am 22. I also love science' 'I am a scientist for a living"
"[User 1 persona]: ['my favorite band is the rolling stones.'
 'i ve had the same job for 8 years.']","Yeah, it's hard remembering anything if you're like myself, working the same job for 8 whole years. ","User1: Well my favorite steak is filet mignon because it is so tender. I usually get the queen cut because it is smaller but YUM!
User2: Mmmm, delicious. It's a French cut, I think? From the tenderloin part?
User1: I have trouble remembering, I just think about how they taste"
"[User 1 persona]: [""i'm in college."" ""i've a crummy job at scrubway.""]","You're welcome. Well, an actor in the background is still a very important actor. Maybe you'll be in a lead role someday!","User1: and what disappoint my family no thanks , i wish i could be carefree
User2: well , if its any comfort i'm sure your life will turn out great .
User1: Thanks for your support! Hopefully I will make it as an actor!"
"[User 1 persona]: ['i was raised by two mothers.'
 'my favorite food is spaghetti and meatballs.']","Well, you get experience points on that. Hopefully, the next dish is better.","User1: Darn straight!  And there\'s a reason I said ""American.""  Though it may be inspired by Italian dishes, it was Italian-American immigrants that came up with the dish.
User2: Really? That's pretty funny. I knew that Italian writers will mock the dish and say it's not really Italian. In Italy it's made only with an egg based pasta. Have you ever had the real stuff?
User1: Nah, we never could afford the fancy things. Best I had was out of a can!"
"[User 1 persona]: [""i've a cat named kj."" 'i worked as a nurse for many years.']",is he still there maybe? hope so. Remember the movie Groundhog Day. It was the homeless guys last day,"User1: My date ended up paying for our dinner. My card got denied
User2: Oohh...if you're the girl that's ok...if you're a guy c'mon buddy, bring some cash lol
User1: I gave the cash I had to a homeless guy by the art gallery."
[User 1 persona]: ['my mother has 500 pairs of shoes.' 'i only eat at restaurants.'],"That's excellent, what's your favorite, I have tons of favorites.","User1: i am doing reasonably well . how about you ?
User2: i'm good do you have shoes
User1: I do' 'Probably Nike tennis shoes."
[User 1 persona]: ['i love chocolate.' 'i can play the violin.'],"Haha, I don't like walking in the dark either.","User1: I'm great! Thanks for asking. Craving some chocolate. Do you like chocolate?
User2: I do, I love hersheys choolate, I have been to hershey park in pennsylvania as well
User1: Awesome! I was so close to there when I was hiking one day, but I had to return home for it was getting dark."
[User 1 persona]: ['i am adopted.' 'i ride horses in my spare time.'],That is so neat. Are they at the age that they like the Australian Band Hi-5? My kids love to binge watch their show!,"User1: I love that my kids have started helping out around the house now
User2: That sounds like you have some good help now. How old are they?
User1: They're 6 and 9"
"[User 1 persona]: ['i make friends fast and say goodbye fast.'
 'i kayak at the lake on weekends.']",it could be like a self paddling pod boat with elaborate comforts . .,"User1: Oh thats interesting. Ive always thought kayaks are fun! They are very tiring though, it looks so much easier then it actually is!
User2: Ha! So many of the paddling-on-the-water past times are like that! They are a great workout -- though the kayak's inventors would find that humorous, given they were made for hunting + fishing.
User1: Thank's for the info, it would be cool if they make a super kayak with a roof, and motor power."
[User 1 persona]: ['i believe i hear voices.' 'i collect toys wearing little rain coats.'],"Hey, I bet that's an interesting job. I actually have never done yoga! I keeping meaning to, but sometimes I hear voices telling me that it's a bad idea!","User1: I have high hopes for tonight. I am going on a date
User2: That is great!  Are you really excited?
User1: Indeed, but more nervous. Ironic for I teach yoga..."
[User 1 persona]: ['i love money.' 'my mother was a weightlifter.'],"My max is 180 lbs, but different days I target different muscle groups with different exercises.","User1: do you have some asperger i know i do
User2: no , i don't . i'm a weightlifter , like my mother .
User1: That's cool! What was the heaviest weight you lifted?"
"[User 1 persona]: ['i love going to concerts and dancing hard.'
 'my favorite food is cheese.']","i only like toyota vehicles. I have a corolla and they drive amazingly,","User1: Yes. It is very crowded, and busy but I love it. The music is amazing!
User2: The ultra music festival is usually in downtown Maimi. 
User1: Do they have a car show associated with it? I like looking at suped up toyota cars."
[User 1 persona]: ['my favorite color is blue.' 'my mother died when i was a child.'],cool ! i'm listening to bach now,"User1: Got a Costco cake. For myself.' 'Oh wow, was it good
User2: It was great. I enjoyed eating it while listening to Bach,"
[User 1 persona]: ['i teach middle school art.' 'i want to write a book before i die.'],I think it falls under a mood disorder and has different characteristics from mental illnesses,"User1: I have and I believe it is normal. I actually have depression which isn't normal but i take medication.
User2: It is odd to me that we consider depression a mental illness, maybe the word is what throws me off. People need and should be encouraged to get treated regadless
User1: why do you think depression isn't a mental illness? "" 'such as? "
"[User 1 persona]: [""i'm good at throwing parties."" 'i enjoy talking to strangers.']","Oh, no, that's terrible. Do you have any loans that are in danger of going into foreclosure if you stop making payments?","User1: My interest rate just went up on my credit card.
User2: Yikes, did you miss a payment?
User1: Yes, I defaulted on my son's car payment. "
[User 1 persona]: ['i don t like beer.' 'my favorite animal is the koala.'],"No, it was just boring painting the sides of dice all day.","User1: That's cool! I work in a factory. Do you work at one too?
User2: I have before, I worked in a dice factory in Las Vegas when I was younger
User1: That is so cool. Was the work difficult?"
"[User 1 persona]: ['i worry about money even though i m in high school.'
 'my dad is very strict with his kids.']",Yes I don't have many friends because I am congnitively ahead of my peers,"User1: what grade are you in' 'i am a junior but already mentally graduated
User2: You sound very mature for your age."
[User 1 persona]: ['i like eating healthy foods.' 'i sometimes wonder why i m not married.'],"I agree, but in some cultures, marriage is recommended and unmarried folks are frowned upon!","User1: Oh God no! I can't stay tied down to one woman. Why would you want to do that?
User2: I know right? Most people consider marriage to be involving 2 people but in certain parts of the world that varies between cultures and religions, so it doesn't seem so bad!
User1: Marriage is very good. ' 'I agree' 'We also consider"
"[User 1 persona]: ['i believe that mermaids are real.' ""i'm terrified of heights.""]",Thats not right. I think you should find better things to do.,"User1: I needed someone to watch my dogs last week
User2: Were you able to find someone?
User1: Yes, I spent my week lusting after the neighborhood pool boy. "
[User 1 persona]: ['i love the desert.' 'i don t have a college degree.'],"yeah, that's good. Online gaming can have so many applications to help people as well as have fun","User1: Yes you're right. My favorite thing about it is probably social media and online gaming.
User2: I do like the interactive aspect of social media. What appeals to you about online gaming?
User1: My internet is really fast, so I can play all kinds of games. I like interacting with others online."
"[User 1 persona]: [""i've blonde hair that reaches my knees."" 'i am a terrible speller.']",I thought Ender was so cute.' 'Asa Butterfield is a nice actor,"User1: wasnt there a movie based on that ?
User2: yea it wasnt the best but the 1985 sci fi novel has held up quite well
User1: Do you read much sci-fi?' 'Oh, how so?"
[User 1 persona]: ['i like to draw.' 'my favorite color is blue.'],"I like to draw to relax, you know? Something about focus and giving my hands something to do just is very zen to me","User1: hello . i'm great . just finished my daily yoga and meditation . you ?
User2: i should do some of that . just chilling in my apartment .
User1: ah that sounds nice, you should though meditate. You'll find after a few sessions you'll be more at ease "
"[User 1 persona]: [""i'm an older guy."" 'i love to work in my garden.']",I really like listening to Imagine Dragons while I work in the garden. It's my favorite thing to do.,"User1: Las Vegas, my favorite city! How long has the band been together?
User2: They debuted in 2008. They first gained exposure with their single ""It\'s Time"" in 2012. You may have heard one of their biggest hits ""Radioactive"".
User1: yes, I've heard of Radioactive.listen to music while running"
"[User 1 persona]: ['i prefer the night to the day , but i love sunshine.'
 'i can never decide between a chili corn dog and a cheesy hot dog.']",It's still the principle though,"User1: When I got through shopping there was a scrape on my car door where someone had banged their door into it. They didn't leave a note and I was enraged.
User2: I would be pretty furious as well, those can be expensive to get removed!
User1: at the same point it's only a car and as long as there isn't any damage to the metal itself I wont worry about rust"
[User 1 persona]: ['i drive a big truck.' 'i love country music.'],"i think i would either make tutorials or maybe music reviews, but i haven't thought it through yet","User1: it is a simple process . i learned through youtube .
User2: youtube is so useful . i'm thinking of starting a channel
User1: what would your channel be on?"
[User 1 persona]: ['i prefer summer over winter.' 'i love food.'],Wow thats alot. I dont like college at all.,"User1: I have already ordered all of my books for this semester' 'How many?
User2: 8 full course load "
