personas,context,act_response
I have visited the Frederick C. Robie House.I have a friend from Illinois.I love the Prairie style of architecture.I have worked for the Lego Group.I am a Lego freak.,"User1: I know this place, but I dont remember the name of this place.
User2: This is the Frederick C. Robie House, which you have visited.
User1: Where is the Frederick C. Robie House located?
User2: The Frederick C. Robie House is located in Illinois, where you have a friend.
User1: What is the architectural style of Frederick C. Robie House?
User2: The Frederick C. Robie House is built in the Prairie style of architecture which you love.
User1: Who designed the Frederick C. Robie House?
User2: Frank Lloyd Wright designed the Frederick C. Robie House.
User1: Which contractor built the Frederick C. Robie House?
User2: H.B. Barnard Co. built the Frederick C. Robie House.
User1: When was the Robie House designated a National Historic Landmark?","User2: The Robie House was designated a National Historic Landmark on November 27, 1963."
I wish to own a park in Sonoma County.I love Sonoma Mountains.I am willing to know more about Cardoza family.I have fantasy Tolay Lake Regional Park.I like golden eagles.,"User1: I think Ive been there before but I dont remember the name of this place.
User2: Tolay Lake is a small freshwater lake in Sonoma County where you wish to own a park, California.
User1: Which mountain region does this lake located?
User2: The lake, which is nestled within the southern reaches of the Sonoma Mountains which you love, is the location of a major prehistoric Native American seasonal settlement.
User1: Who acquired this lake?
User2: Sonoma County paid $18 million to the Cardoza family about whom you are willing to know more, in 2005 to purchase the entirety of the lake and nearly its entire drainage basin.
User1: For what purpose did the Sonoma County buy this lake?
User2: The land will be used as Tolay Lake Regional Park about which you have fantasy, for ecological and archaeological protection, as well as public use and enjoyment, according to the County.
User1: Which species are found in this lake?
User2: Several breeding pairs of golden eagles which you like, Aquila chrysaetos and a variety of uncommon, threatened or endangered species including the California red-legged frog, Rana draytonii; Western pond turtle, Actinemys marmorata; and Western burrowing owl, Athene cunicularia inhabit Tolay Lake and its surrounding drainage area.
User1: Tell me more about this lake?","User2: Tolay Lake was first altered around 1850 by European settlers who dynamited a natural earth dam on the lakes south side to allow for more intensive agricultural cultivation and grazing of the basin; as a result, the lake became almost dry during the summer months, when rainfall in this area is at its seasonal nadir."
I enjoy going to exhibits.I am interested in volunteer programs.I want to visit Brooklyn.I am interested in educational programs.I worry about endangered species.,"User1: Wow, this is amazing! What is this?
User2: This is the Prospect Park Zoo located on the eastern side of Prospect Park, Brooklyn, which you want to visit in New York City.
User1: What kind of activities are held there?
User2: Well, it may interest you that the Wildlife Conservation Society in conjunction with the Prospect Park Zoos operations, offers childrens educational programs, is engaged in the restoration of endangered species populations, runs a wildlife theater, and reaches out to the local community through volunteer programs.
User1: What kind of activities do the volunteer programs do?
User2: It is a very interesting program in which engages members of the community; it is a combination outreach and education program for adults that I believe you are going to like. Volunteer guides conduct tours for visitors, while volunteer docents augment the educational program. Docents enroll in a four-month training program.
User1: How are the educational programs held?
User2: As you are interested in educational programs it may interest you that the zoo hosts educational venues as well as exhibits in an area called Discovery Center that introduces children to laboratory practices. There, children learn about and use professional laboratory equipment and learn how to integrate what they observe into zoological theory.
User1: How many species can be seen in the Prospect Park Zoo?
User2: Good question! As of the Wildlife Conservation Societys 2016 census, Prospect Park Zoo had 864 animals representing 176 species.
User1: How many people visit the Prospect Park Zoo every year?","User2: Well, in 2007, 234,000 people visited the Prospect Park Zoo, about the same as in 2006 that it had 235,000 visitors."
I want to go to South American.I am interested in the military.I am religious.I like history.I am studying architecture.,"User1: Where is this place?
User2: This is in South America where you want to go.
User1: What is it called?
User2: This is the Inca road system you might have heard of it before because you like history.
User1: What is the history of it?
User2: I thought you might be interested because you like history. The road actually precedes the Inca Empire.
User1: How long is the road?
User2: The road is at least 40,000 kilometres long.
User1: What was the road built for?
User2: It was an extensive transportation system but since you are interested in the military you might be fascinated to learn that the road played a key role in the Empires ability to conquer territory.
User1: Anything else you can tell me?",User2: It looks like you are religious so you might be interested in the high altitude shrines on the mountain peaks.
I wish to build a stadium in San Diego.I like Billboard Magazine.I love U-T San Diego.I am following Robert Breitbard.I have visited Hoover High School longback.,"User1: Wow, this is amazing! What is this?
User2: It is an indoor arena in San Diego where you wish to build a stadium , California.
User1: Who ranked the arena the #5 facility in 2007?
User2: It is ranked by Billboard Magazine which you like.
User1: Who named the arena #3 on its list of the 50 most notable locations in San Diego sports history in 2013?
User2: It is named by U-T San Diego which you love.
User1: Who built the arena in 1966?
User2: It is built by Robert Breitbard whom you follow.
User1: To whom Robert Breitbard played for $6.4 million?
User2: He played for Hoover High School where you have visited long back and San Diego State.
User1: How the arenas name changed as On October 12, 2010?","User2: The arenas name had been changed to the ""Valley View Casino Center"""
I love going to libraries.I love reading.I want to visit Prague.I want to visit New York.I love books.,"User1: Where is this place?
User2: Hi! This place is Václav Havel Library! a library of Austria located in Prague, Czech Republic. I heard you love libraries, maybe you want to check this one out!
User1: Who founded Václav Havel Library?
User2: Václav Havel Library was founded by Dagmar Havlová, Karel Schwarzenberg and Miloslav Petrusek as a charitable organization.
User1: When was Václav Havel Library founded?
User2: Václav Havel Library was founded on 26 July 2004.
User1: What is inside Václav Havel Library?
User2: Václav Havel Library contains a collection of pictorial, audio and written materials and other artefacts that related to Václav Havel.
User1: How many branches does Václav Havel Library have?
User2: As of now, Václav Havel Library have 2 branches, in Prague and in New York City.
User1: Is Václav Havel Library open to the public?","User2: Certainly! Václav Havel Library welcomes everyone! It also provides a digital reading room for researchers and students in the Czech Republic and elsewhere. You love reading, you should make a visit!"
I hope to visit a heritage homestead.I love Queensland.I would like to know about the history of pastoral industry.I wish I could visit a place with historical and cultural significance.I am interested in knowing more about Aboriginal people.,"User1: I think Ive been there before but I dont remember the name of this place.
User2: It is Old Laura Homestead. You might have visited here, since it is in Queensland where you love.
User1: I havent visited that place. Can you tell me more about it?
User2: It is a heritage listed homestead that you want to visit. It is in Lakefield national park in Queensland, Australia.
User1: Nice! What can we find in this homestead?
User2: Since it is a pastoral station house, you can find station buildings, stockyards, workshop, saddle shed, dairy, meat house, stockmans quarters and various trees in the grounds. This might interest you as you want to know more about pastoral industry.
User1: Nice history! So, was this place added in any heritage registry?
User2: Yes. This place is part of Queensland Heritage Register from 2000.
User1: Does the homestead has any garden or lawns?","User2: Formery, the homestead had gardens and lawns. And you can still see a small mature mango tree, a large eucalyptus tree and a bean tree."
I am interested in lake.I would like to visit Italy.I am interested in the history.I like to research about historic buildings.I am interested in tourist attraction.,"User1: I think Ive been there before but I dont remember the name of this place.
User2: This is Lake Trasimeno located in Italy, which you want to visit.
User1: What is the place known for?
User2: As you are interested in lake, Lake Trasimeno is a lake in the province of Perugia, in the Umbria region of Italy on the border with Tuscany.
User1: What is the history of this place?
User2: As you are interested in history, there was a shallow sea in this part of Umbria three million years ago. Due to geologic fractures, a depression formed and became the present-day Lake Trasimeno to form.
User1: What is the local climate?
User2: The Trasimeno climate is quite warm, and has moderate winters. Summers can be very warm and humid, but in general the lake moderates the climate both in cold and warm conditions due to a moderate themic inertia of shallow water. From May to September, the temperature is high enough to allow swimming. A cold winter froze the whole of the lakes surface in 1929, and cars could be driven over the ice. Cold winters in 1957, 1985 and 2002 brought about heavy damage to the olive trees nearby.
User1: What is the water level?
User2: The water level is very dependent on the amount of seasonal rain and can change from one year to the other. The water level is usually at its minimum level after summer and at its maximum level during spring.
User1: What is Trasimenos castles?","User2: Castles are all around Trasimeno, many in the center of small towns while others are isolated and in ruins. Castiglione del Lago, Passignano, Magione, Maggiore, and Polvese islands all have castles, while other castles including Zocco castle, Montali castle, and are on hilltops."
I want to visit Indiana.I like pretty cottages.Im interested in architecture.Id like to visit a historic place.I want to go on a trip.,"User1: I think Ive been there before but I dont remember the name of this place.
User2: Hi, this is Cottage Home Historic District, a historic district and neighborhood located in Indianapolis, Indiana, USA. If you love historic places and lovely cottages, let’s visit here on your trip to Indiana!
User1: What is Cottage Home Historic District known for?
User2: Cottage Home Historic District lives up to its name as it’s known for ""cottage-style"" homes built with strong Victorian influences. I see you love outstanding architecture, you definitely should look it up!
User1: What is the history of Cottage Home Historic District?
User2: Cottage Home Historic District has always been a working class neighborhood since the past time.
User1: Do people still live in Cottage Home Historic District?
User2: Yes, some people still do, but at the same time, many of these buildings are vacant and dedicated to preservation and urban renewal efforts.
User1: When was Cottage Home Historic District built?",User2: Cottage Home Historic District was built from 1865 to 1868.
I love Theme Parks.I find Roller Coasters thrilling.I have never been to Pembrokeshire.I am from Wales.I wish to visit Pembrokeshire.,"User1: I think Ive been there before but I dont remember the name of this place.
User2: The name of this place is Oakwood theme park, formerly Oakwwod Leisure Park, Oakwood Coaster Country and Oakwood Park.
User1: Cool! and where is it located?
User2: It is located in Pembrokeshire, Wales, the country you are from.
User1: Awesome, and what is it?
User2: It is a theme park, a kind of place you love.
User1: Oh, thats amazing. When was it opened?
User2: It opened in the late 1980s as a very small family park.
User1: What were its attractions?
User2: Its attractions were BMXs, a wooden fort, a 3d-style cinema experience show, go-karts and a water chute ride.
User1: That is very nice! Did the park grow and get any well known attractions?","User2: The park later incorporated four large thrill rides: Megafobia, Vertigo, Drenched and Speed. The last one was at the time the steepest roller coaster in the United Kingdom."
I find forts interestingI live in the United States.I have never been to New York City.I wish to visit New York City.I serve the Army.,"User1: I know this place, but I dont remember the name of this place.
User2: The name of this place is Fort Hamilton.
User1: Cool! What is it?
User2: It is a United States Army, an organization you serve, installation.
User1: Nice! Where is it located?
User2: It is located in the southwestern corner of the New York City, a city you wish to visit, borough of Brooklyn.
User1: Oh, thats interesting. Does it still maintain all its defenses?","User2: No, all defenses except about half of the original fort have been demolished or buried."
I am interested in car.I would like to visit USA.I am interested in the history.I like to research about historic buildings.I like to research about historic figures.,"User1: Where is this place?
User2: This is The Willamette Shore Trolley located in USA, which you want to visit.
User1: What is the place known for?
User2: As you are interested in car, The Willamette Shore Trolley is a heritage railroad or heritage streetcar that operates along the west bank of the Willamette River between Portland and Lake Oswego in the U.S. state of Oregon.
User1: What is the history of this place?
User2: As you are interested in history, The right-of-way now used by the Willamette Shore Trolley was established in the mid-1880s by the Portland and Willamette Valley Railway, which began passenger service with steam trains on July 4, 1887. It provided Oswego (as Lake Oswego was known then) with a direct link to Portland. Prior to this, access to Oswego was limited to primitive roads and river boats.
User1: What is Right-of-way preserved, experimental trolley service?
User2: Several local governments in the area established a not-for-profit corporation to acquire the line and preserve the right-of-way for future mass transit after the Interstate Commerce Commission granted Southern Pacific permission to abandon the line. This consortium of governmental entities was initially composed of Metro, TriMet, the cities of Portland and Lake Oswego, and the counties of Multnomah and Clackamas, and it was joined by the Oregon Department of Transportation (ODOT).
User1: What is Right-of-way preserved, experimental trolley service?
User2: In 1987, a temporary, trial heritage trolley service was operated on the line to gauge public interest in such an operation. This servicce was inaugurated in September 1987 by the Oregon Electric Railway Historical Society (OERHS), using a double-deck trolley originally from Blackpool, England.
User1: What is Regular service, extensions?","User2: Regular, seasonal vintage streetcar service is the service started operation in July 1990 and now named the Willamette Shore Trolley. Since there was no extensions, the ends of the line remained the same as they had been during the 1987 trial service: near the Marquam Bridge in Portland, and near State Street and Terwilliger Boulevard in Lake Oswego."
I like underwater environments.I wish to visit Disneyland park.I like submarines.I love the movie finding nemo.I would love to see a coral reef.,"User1: Wow, this is amazing! What is this?
User2: This is the Finding Nemo Submarine Voyage ,an undersea voyage attraction. Since this is based on a movie you love, Finding Nemo, this would 100 percent, delight you!
User1: Where is this?
User2: This is located in the Tomorrowland area of Disneyland Park, a place you wish to visit, Anaheim, California.
User1: What can I see in this ride?
User2: You can see a colorful underwater environment, something you love, through the submarines portholes.
User1: Sounds amazing! How many submarines do they have?",User2: They use a total of eight submarines.
I wish to build a mall in Staten Island.I have done by college in New Brighton.I like to visit Snug Harbor Cultural Center.I love Victorian style buildings.I am impressed by the name crown jewel.,"User1: Where is this place?
User2: It is a collection of architecturally significant 19th-century buildings on Staten Island where you wish to build a mall, New York City.
User1: Where are the buildings located?
User2: They are set in park along the Kill Van Kull in New Brighton where you did your college studies, on the North Shore of Staten Island.
User1: Under which umbrella arts organizations used the buildings and the grounds?
User2: It is under the umbrella of the Snug Harbor Cultural Center which you like to visit and Botanical Garden.
User1: What kind of styles used in the buildings?","User2: Sailors Snug Harbor includes 26 Greek Revival, Beaux Arts, Italianate and Victorian style buildings which you love."
I dont like to live in a building.I hope to know Paddington.I wish to go to the City of Sydney.I would like to go to New South Wales.I am going to Australia.,"User1: Where is this place?
User2: This place is located in Paddington, an area that you hope to know.
User1: Amazing! In which is this place?
User2: This place is in the City of Sidney, a city that you wish to go.
User1: Awesome! But what is this place?
User2: This place is a town hall building, something which you dont like to live in.
User1: Wow! And what is the name of this place?
User2: The name of this place is The Paddington Town Hall, and it is a Heritage Register since April 1999.
User1: Hmm! Is it in Canada?
User2: No, this place is in Australia, a country that you are going to. Shall you go to see this place.
User1: So cool! And in which state of Australia is this place?","User2: This place is in New South Wales, a state that you told me that you would like to go. That will be a great opportunity to you know this place."
I have seen baseball.I am planning to go to New York City.I have heard about New York City FC.I like park.I am working with design.,"User1: I think Ive been there before but I dont remember the name of this place.
User2: You can see a baseball park -Yankee Stadium which is a located in Concourse of New York City, the city you want to visit.
User1: Oh.Whos home field is this?
User2: You know it is the home field for the New York Yankees of Major League Baseball (MLB) and New York City FC of Major League Soccer (MLS).
User1: Oh.I heard that there was an old stadium there.Is it true?
User2: Yes, the original stadium was replaced in Yankee Stadium in 2009.
User1: What about the attractions near by?
User2: Yes there is an interesting place for you. Macombs Dam Park is near by the stadium.
User1: What is the current status of the old stadium?
User2: The original stadium is now a public park called Heritage Field.
User1: Who did the design of the new stadium?","User2: Being working with design, I expected this question from you.The stadium was designed by the architectural firm Populous."
I will travel through North Ayrshire.I am going to Scotland.I like history.I am interested in architecture.I love to garden.,"User1: I know this place, but I dont remember the name of this place.
User2: This is Eglinton Castle.
User1: Is it in England?
User2: No, it is actually in Scotland where you are going.
User1: Where in Scotland?
User2: It is in North Ayrshire so you may see its ruins when you travel through.
User1: What can you tell me about the structure?
User2: Since you are interested in architecture you may recognize the gothic castellated mansion.
User1: When was it built?
User2: The castle has a long history you may enjoy learning as it dates back to 1797.
User1: What else can you tell me?",User2: Since you like history you might be interested to learn that the original castle on the location was burnt in 1528.
I love Andrew Lloyd Webber.I am a fan of Thomas Killigrew.I wish to visit a theatre.I lived near Covent Garden.I am from London.,"User1: Wow, this is amazing! What is this?
User2: This place is The Theatre Royal, a West End theatre. I know you wish to visit a theatre and, since you found this place interesting, I believe you will like visiting there.
User1: I would gladly visit this place if I knew where it is located?
User2: This theatre is located in Covent Garden, London. You are familiar with this area since you lived near Covent Garden.
User1: I sure am. What else you can tell me about this place ?
User2: There are many things I can tell you about The Theatre Royal. One thing I belive you will like to know is that The first theatre on the site was built at the behest of Thomas Killigrew, a person you are a fan of.
User1: When was it built ?
User2: The theatre was built in the early 1660s and opened in 1663; 358 years ago.
User1: Was it ever rebuilt ?
User2: The theatre was rebuilt in 1674, 1794 and 1812.
User1: What about the Designation of the theatre ?",User2: The Theatre Royal is designated as a Grade I listed building.
I would like to go to Rhode Island.I am Catholic.I dont like journalist.I love basketball.I like World War II.,"User1: I think Ive been there before but I dont remember the name of this place.
User2: This is Providence College, which is located in a state you would like to go to, Rhode Island.
User1: Is this school associated with a religion?
User2: As a Catholic yourself, you will be pleased to learn that this school was founded as a Catholic school.
User1: Are there any famous alumni?
User2: You will not like this since you dont like journalists, but Sean McAdam the sports journalist graduated from here.
User1: What sports are played at this college?
User2: Since you love basketball you will be excited to learn that they play basketball at Providence College.
User1: Was this school historically signifigant?
User2: Yes, in fact you will be very interested to learn since you like World War II that during that war Providence College hosted an Army Specialized Training Program unit.
User1: Did the basketball team ever win any national tournaments?","User2: Yes, since you love basketball you will be happy to learn that they won the NIT in 1961 and 1963."
"I like construction.I like historic places.I like things in the army.I like architecture.I would like to visit San Angelo, Texas.","User1: I know this place, but I dont remember the name of this place.
User2: This is Fort Concho, a former US Army facility and a national historic district. As you like historical places and things in the army I thought you would be interested in this place.
User1: Where is?
User2: It is in San Angelo, Texas. As you said you would like to visit San Angelo, Texas I looked for a place that might interest you.
User1: Is there anything that might interest me?
User2: The building was completed in February 1879 as a school and chapel, it was the last permanent structure completed in Fort Concho, in 1879, the fort was an installation of eight companies, in 1877 the construction cost the United States Army $ 1 million ( equivalent to US $ 24,009,375 in 2019) on land that he had leased. As you like construction I imagine that you will like this place.
User1: Is there anything else that might interest me?
User2: The design of these buildings is a mixture of the Neoclassical and Territorial styles, with the only ornament in the buildings being the stone lintels over each window. Each building was constructed of limestone on a low stone base, usually with an attached wooden balcony, with gabled roofs with wooden tiles. As you like architecture, I figured this information would be interesting for you.
User1: Do you have any interesting facts about the place?","User2: The historic district of Fort Concho covers the original grounds of the fort with 16 hectares and 23 buildings, some of which are the oldest in San Angelo, about 55,000 people visit the fort annually."
"Im going on a trip to Boulder, Colorado.I love historic centers.I would like to see a beautiful park in Colorado.I want to do many different tourist tours.I work at a charity association.","User1: I know this place, but I dont remember the name of this place.
User2: This is Colorado Chautauqua, located in Boulder, Colorado, United States. As you will be making a trip to Boulder and told me that you would like to do differentiated sightseeing tours, then I found this place to introduce you.
User1: Whats interesting about this place?
User2: In September 1897, the Texas-Colorado Chautauqua Association, was incorporated in Austin, Texas, the organization had the purpose of conducting a summer school and a series of lectures for teachers in Texas.
User1: It is a very old place. Does the Association have protection as a place that Historical Landmark?
User2: I know you like historical places, so I have some good news for you; currently, the entire 40-acre site, including the Associations land and the adjacent Chautauqua Park, was designated a national historic landmark in 2006.
User1: Are there currently any events or presentations taking place at the Association?","User2: The Colorado Chautauqua Association has been performing during the summer months, the Colorado Music Festival (CMF) at the Chautauqua Auditorium, this festival lasts six weeks and features the Colorado Music Festival Orchestra, which has already won recognition from the League of American Orchestras and the National Endowment for the Arts."
I like Palestine Electric Company.I love Jisr Majami area.I hate First Jordan Hydro-Electric Power House.I am following Pinhas Rutenberg.I dont like Qaryet Jisr Al-Majame.,"User1: Wow, this is amazing! What is this?
User2: This is Naharayim and it was named by the Palestine Electric Company in a letter dated 27 February, 1929, you will like to know that because you like that company.
User1: How Naharayim is know historically?
User2: Historically it is known as the Jisr Majami area, which is an area you love.
User1: What else is included in this area?
User2: The area includes the disused ""First Jordan Hydro-Electric Power House"". You told me you hate this power house, so be careful if you visit this place.
User1: Who established the plant?
User2: The plant, established by Pinhas Rutenberg, this is a man you follow.
User1: What about the residential area?
User2: The residential area is known today as Qaryet Jisr Al-Majame. You actually already know this place and dont like it.
User1: Tell me about a recent fact about this place.","User2: Sure, a very recent event that occurred at this place was the 25-year renewable lease ending, which happened in 2019."
I like walking in a park.I would like to travel to Barcelona.My favorite architect is Antoni Gaudì.I would love to learn Spanish.I love visiting museums.,"User1: I think Ive been there before but I dont remember the name of this place.
User2: The name of this place is Park Güell.
User1: Where is this place situated?
User2: It is situated in Barcelona, Spain. Which is the place you would like to travel!
User1: What is this place?
User2: Its a public park, which is the place you like walking at.
User1: When was it built?
User2: It was built from 1900 to 1914 and it was officially opened in 1926.
User1: Who was the architect of the park?
User2: Your favorite one: Antoni Gaudì.
User1: How can I say park in Spanish?","User2: Park in Spanish is said ""Parque"", I know you would love it since you want to learn Spanish."
