personas,context,act_response
I like football.I have not been to New Jersey.I am from Columbia.I hope to attend a football game.I would like to go to university.,"User1: Where is this place?
User2: The SHI Stadium is located in New Jersey. I know you have not visited this place.
User1: What team calls it home?
User2: It is home to the Rutgers Scarlet Knights football team. This may excite you since you like football.
User1: What is the capacity of the stadium?
User2: The stadium has a capacity of 52,454 people. Maybe you could be one of them since you hope to attend a football game.
User1: What surface is used on the pitch?","User2: It used to be a natural grass surface. However, it has since been replaced with FieldTurf."
I would like to visit Midtown Manhattan.I like New York City.I am an architect.I am interested in construction.I love Mexico.,"User1: I know this place, but I dont remember the name of this place.
User2: This is 270 Park Avenue located in Midtown Manhattan that you have wanted to visit.
User1: When was 270 Park Avenue built?
User2: It was built between 1957 and 1960.
User1: Who designed 270 Park Avenue?
User2: Since you are an architect, it would be intersting to know that 270 Park Avenue was designed by Gordon Bunshaft and Natalie de Blois for Skidmore, Owings & Merrill.
User1: How tall was 270 park avenue?
User2: It was 708 ft (216 m) tall.
User1: When was the demolition of the former hotel began?
User2: It began in early 1957.
User1: Was 270 Park Avenue the worlds tallest building designed by a woman?",User2: 270 Park Avenue was the worlds tallest building designed by a woman.
I love Cleveland.I love animals.I like primates.I like education.I like conservation.,"User1: Where is this place?
User2: As its name suggests, the Cleveland Metroparks Zoo is located right in Cleveland, which youll no doubt enjoy knowing.
User1: Whats there?
User2: Youll be thrilled to learn that like most zoos, it has a great collection of animals from all over the world.
User1: Are they known for any particular animals there?
User2: It just so happens that they have one of the biggest collections of primates in the country, which youll appreiciate.
User1: Do they do anything other than keeping animals for display?
User2: As someone that like education, youll like knowing that they also have a strong focus on educating children about the animals and environment.
User1: Do they do much to help animals outside their zoo?
User2: The zoo also offers numerous grant opportunities which fund research and conservation projects around the world, which I know you will be glad to hear.
User1: How old is the zoo?","User2: As a fan of Cleveland, youll be interested to learn that the zoo has been a part of the city since 1882."
I like military history.I have been to Australia.I am interested in prison museums.I hope to live in Melbourne.I would like to see inside a prison.,"User1: I think Ive been there before but I dont remember the name of this place.
User2: It is the Old Melbourne Gaol in Melbourne, Australia. I know you have been to Australia and you are interested in prison museums, so maybe you have been here.
User1: Was the prison used during WWII?
User2: Yes, during WWII, the prison was used as a military prison. You should research this since you like military history.
User1: When did the prison open?
User2: The prison was opened in 1845.
User1: Were there any executions here?","User2: Yes, 133 people were executed here."
I would like to visit the Bronx.I have been to New York.I love New York City.I am from the United States.I am a fan of visiting different neighbhorhoods.,"User1: I know this place, but I dont remember the name of this place.
User2: You would love visiting this area, which is Woodlawn Heights in the north end of the Bronx.
User1: What kind of neighborhood is this?
User2: Youd be a fan of visiting this neighborhood, which is primarily Irish-American working class.
User1: Is this a populated area?
User2: This is a pretty populated area with 42,483 people as of 2010. It may be one of the reasons why you love New York City so much.
User1: Is this a safe area?","User2: In recent years, this neighborhood has proven to be rather violent. Its rate of crimes per capita is more than the city as a whole."
I am a poet.I live in a farm.I am from scotland.I would love to visit museum.I love to read Robert Burns poems.,"User1: I think Ive been there before but I dont remember the name of this place.
User2: This place is called Ellisland Farm. It is located in Scotland which is where you are from as well.
User1: Is this place a farm ?
User2: This place is not a farm like the one you live in, the complex is actually a museum in a farm. So, you should visit this place as you stated you would love to visit a museum.
User1: Who built the farm ?
User2: The farm this museum is at was built by Robert Burns, and there he lived in and farmed from 1788 until 1791. You love to read Robert Burns poems, I guess you will love this place too.
User1: Is this place near Dumfries?
User2: It is, the Ellisland Farm lies about 6.5 mi/10.4 km northwest of Dumfries, not very far from it.
User1: Until when was Ellisland still farmed ?
User2: Ellisland was still famed until 1921, then it was purchased by John Wilson, who gave it to the nation.
User1: Who maintains Ellisland?",User2: Ellisland Farm is maintained by the Ellisland Trustees since 1929. It also counts with the support of local volunteers known as the Friends of Ellisland.
"I wish to have a farm.I would like to visit a park,I am from the Uk.I am an architect.I would love to own a house.","User1: Wow, this is amazing! What is this?
User2: This is Dunorlan Park and grounds that you wish to visit.
User1: Where is it located?
User2: It is located in Royal Tunbridge Wells, UK where you are from.
User1: What is the size?
User2: It occupies about 78 acres and has a 6-acre (24,000 m2) lake.
User1: Who landscaped the grounds?
User2: Robert Marnock landscaped the grounds.
User1: Who is Henry Reed?
User2: Henry Reed was an merchant and philanthropist who had the estate and the now-destroyed house that once passed it over.
User1: Whose name was the first record of the land?",User2: Burnhouse of Calverly Manor Farm is under the first record of the land.
I love gold.I have never toured a mine.I like the Northern Highlands.I have never been to Cajamarca.I am apart of a joint venture with friends.,"User1: Wow, this is amazing! What is this?
User2: This is a gold mine in the Cajamarca region, you love gold surprisingly.
User1: Where is it?
User2: Yanacocha gold mine is located in the province and department of Cajamarca Region, about 800 kilometers northeast of Lima, Peru in the Northern highlands which you like.
User1: What is it considered?
User2: It is considered to be the fourth largest gold mine in the world, you have never toured a mine before.
User1: What is the name of this place?
User2: It is called Yanacocha.
User1: Whats its altitude?
User2: Its altitude is estimated at 3,500 and 4,100 meters above sea level.
User1: How much gold did it produce in 2014?",User2: 0.97 million ounces of gold were produced in 2014.
I love park.I like to visit australia.I would like to know about name.I am interested in history.I have the hobby of walking.,"User1: Wow, this is amazing! What is this?
User2: Its your loving thing a park,named as Organ Pipes National Park.
User1: Where it is located?
User2: This park is located in the Central region of Victoria, Australia.The country which you like to visit.
User1: How and in which year it was declared as national park?
User2: It shows your interest over history,On 12 March 1972, under Schedule 2 of The National Parks Act 1971 , this area was declared as National Park.
User1: What was its aim?
User2: This protected area was established with the focus on conservation of the native flora and fauna, and preservation of the geological features in the Jacksons Creek, a part of the Maribyrnong valley, north-west of Melbourne.
User1: Who managing this?
User2: The Conservation and Management of Parks Victoria is the managing authorities of this place.
User1: What attractions it having for the tourists?","User2: It having Visitors Center, picnic area,the rock features and short walking tracks down a rather steep hill to Jacksons Creek .So your walking hobby will get fulfilled here."
I hope to visit Oregon.I love to see fountains.I have never seen a waterfall.I am interested in going to events.I like to visit a park.,"User1: Where is this place?
User2: It’s Keller Fountain Park in Oregon, a place you hope to visit.
User1: What is the park known for?
User2: It’s known for its fountain which is something you would love to see.
User1: How much water is in the fountain?
User2: It holds 75,000 US gallons.
User1: What kind of trees are in the park?",User2: There are shore pines in the park.
I love agricultural economy.I am from Peru.I love to study archeology.I love to visit worship centres.I love political views.,"User1: Wow, this is amazing! What is this?
User2: This is Chavín de Huántar, it is an archaeological site which you would love to study about.
User1: Where is it located?
User2: The site is located in the Ancash Region, Peru where you are from.
User1: Where are some of the Chavin relics displayed?
User2: Some of the Chavín relics found in this archaeological site are displayed in the Museo de la Nación in Lima and the Museo Nacional de Chavín in Chavin itself.
User1: What was the economy based on?
User2: The fairly large population was based on an agricultural economy that you love.
User1: When was it constructed?","User2: Chabain de Huantar was built in several stages from before 1200 BC, and most of the major buildings were built by 750 BC."
I love island trips.I dont like touching seaweed when I go to the beach.I have so many memories of my youth school trips.I would like to buy some birds for my mother.I like World War II films.,"User1: Wow, this is amazing! What is this?
User2: Lihou is a small tidal island situated in the English Channel between Great Britain and France, an excellent opportunity for a great trip of the type you love.
User1: Is it a tourist destination?
User2: Indeed, Lihou is mainly use for tourist purposes today, and guess what, some of the visitors it attracts come from school trips like those from your cherished memories.
User1: What was the historical significance of this island?
User2: Historically Lihou was used by the locals for the collection of seaweed used as a fertiliser, the kind of industry you wouldnt like to work in considering your aversion for this algae.
User1: Whats the size of this island?
User2: Lihou is a small island covering 36 acres (15 hectares).
User1: Is the island a reserve of important flora or fauna?
User2: Yes, Lihou is part of a Ramsar wetland site for the conservation of rare plants and birds, which might interest you if youve been researching birds for your mothers present.
User1: Has Lihou been the site of any war conflict?","User2: The Channel Islands which Lihou is a part of were occupied by the Germans during World War II and Lihou was used for artillery target practice, causing the destruction of the farmhouse building in the island, but I couldnt tell you if this episode is depicted in any World War II film of the ones you love."
I wish to have a gas reservoir in Patagonia.I have learned about Shale gas in my school.I like Repsol-YPF company.I am willing to make a research on Los Molles Formation.I love Charles E. Weaver for his studies.,"User1: I know this place, but I dont remember the name of this place.
User2: It is located in northern Patagonia, Argentina where you wish to have a gas reservoir.
User1: What is the major deposits in Vaca Muerta area?
User2: It has major deposits of shale oil and shale gas about which you have studied in your school.
User1: Who found oil discovery in the Vaca Muerta Formation?
User2: It was discovered by the former Repsol-YPF which is the company you like.
User1: The hydrogen found in Vaca Muerta is more than which formation?
User2: It is more than Los Molles Formation on which you are willing to make a research.
User1: Who introduced Vaca Muerta Formation to the geological literature in 1931 ?
User2: It was introduced by American geologist Charles E. Weaver.
User1: How much is the proven reserves in Vaca Muerta?",User2: The total proven reserves are around 927 million barrels (147.4×106 m3).
"I love watching cricket.I love watching Rugby.I wish to visit Australia.I wish to visit Sydney,I like stadiums.","User1: Wow, this is amazing! What is this?
User2: The Sydney Cricket Ground (SCG) is a sports stadium. I know you like stadiums so you should visit this one!
User1: Where is it located?
User2: It is located in Sydney, Australia. You said you wish to visit Australia.
User1: What is the stadium used for?
User2: It is used for Test, One Day International and Twenty20 cricket, as well as Australian rules football, rugby league football, rugby union, and association football. You said you love watching cricket.
User1: Which teams uses the stadium?
User2: The New South Wales Blues cricket team, the Sydney Sixers of the Big Bash League and the Sydney Swans of the Australian Football League generally uses this stadium. Also the Sydney Roosters of the National Rugby League and the NSW Waratahs of Super Rugby uses it for a limited period of time during the renovation of the Sydney Football Stadium.
User1: Who owns the stadium?
User2: The stadium is run by the Sydney Cricket Ground Trust, who is also responsible for the Sydney Football Stadium which is currently being redeveloped by the NSW Government.
User1: When was the Sydney Cricket Ground first opened?","User2: It was first opened in February, 1854."
I like lord shiva in Gangaikondacholeeswaram.I have a land in Jayankondam.I would like to know about Rajendra Chola I.I like Dravidian style architecture.I would like to know UNESCO heritage list.,"User1: Wow, this is amazing! What is this?
User2: It is a hindu temple to worship lord shiva which god you like.
User1: Where is it located?
User2: It is located in Jayankondam, South Indian state of Tamil Nadu, in where you have your land.
User1: Who built it?
User2: It was built in Rajendra Chola I dynasty about which king you would like to know.
User1: What kind of architecture is this?",User2: This is Dravidian style architecture which you like.
I am not interested at all in baseball.I have a dream of travelling to the United States with my whole family.I hate sushi.I have an irrational phobia of elevators.I dont like stadiums with very high seating capacity because crowds make me nervous.,"User1: Wow, this is amazing! What is this?
User2: Its the retractable roof stadium T-Mobile Park in Seattle, Washington, United States, which looks great but maybe you wont be so thrilled to know it is used as a baseball park.
User1: Is the T-Mobile Park big?
User2: The T-Mobile is fairly big with a total seating capacity of 47,929, so maybe you will not want tickets for a venue hosting baseball games you dont like and potentially housing big crowds.
User1: At least could I have a good meal at the T-Mobile Park?
User2: I think youd definitely could. Besides your traditional ballpark fare of hot dog, pizza, soda, and beer, theres a place at street level Center Field Gate selling sushi (you might skip this), burritos, teriyaki, stir-fries, pad thai, garlic fries, crepes, health food, seafood, and barbecue.
User1: How do people get into their seats in such a big stadium?
User2: Because the basebal field is at street level, main gate entrance requires ascending stairs, an escalator or elevator. The three options are also available for accessing all level in the stadium, so you wont be forced to face your fear taking the elevators.
User1: Which baseball team plays at T-Mobile locally?
User2: The T-Mobile Park is the home stadium of the Seattle Mariners of the MLB.
User1: When did the T-Mobile first open?","User2: This baseball park opened in 1999, and the first game was played on July 15."
I have children.I love theater.Im into model boating.I recently built my own canoe.I have plans to visit Seattle this summer.,"User1: Wow, this is amazing! What is this?
User2: Thats Green Lake park in Seattle, the city youre visiting this summer.
User1: On neat! Are there interesting things to see there?
User2: Sure! For one thing, Green Lake, a freshwater lake, is located inside the park. Unfortunately, you wont be able to use your model boat on the lake, because its no longer allowed.
User1: Thats too bad. Is there anything to see in the park other than the lake?
User2: I know you love theater, so you might like to know that the park contains a 1927 bathhouse, which currently houses a public theater company.
User1: Is there anything my family could do in the park?
User2: Your kids might enjoy the wading pool, which was built as a Works Progress Administration project.
User1: Oh nice, when is the wading pool open?
User2: Mostly during the summer, from June 23rd to September 3rd, so itll be perfect for your visit to Seattle this summer.
User1: Are there any activities we could do on the lake?","User2: Definitely! Motor boats arent allowed, but motorless boats are, so you could take your canoe out on the lake!"
I like going to historic districts around the world.I am planning to visit United States next month.My friend lives in Waterbury.I like visiting downtowns.I am interested in architectures.,"User1: Where is this place?
User2: This place is called Downtown Waterbury Historic District. Since you like going to historic districts around the world, you might have heard of this place before, because it is well known to tourists.
User1: Where does it located in?
User2: This place is located in the United States. Ive heard that you are planning to visit United States next month so, you should also consider visiting this place while you are in United States next month.
User1: Is this place located near the Waterbury?
User2: Ive heard that this place is the core of the city of Waterbury, Connecticut, United States. Since your friend lives in Waterbury, you should visit this place with your friend.
User1: What is special about this place?
User2: This place is special because it has been called ""one of the most attractive downtown parks in New England."" If you like visiting downtowns, I highly recommend you to visit this place when you get a chance.
User1: Can you tell me about this architectural style of this place?
User2: Ive heard that the buildings around this place include a variety of contemporary architectural styles, particularly the Second Renaissance Revival, Georgian Revival and Romanesque Revival modes. Since you are interested in architectures, visiting this place will be a good opportunity for you to observe various types of architectural styles.
User1: Can you tell me more about this place?","User2: This area was recognized as a historic district and listed on the National Register of Historic Places. So, I think it is totally worthwhile to visit when you get a chance while you are in California next time."
I have never been to a mansion.I live in the United States.I work with Oil.I wish to se a historic landmark.I would like to be a philantropist.,"User1: Wow, this is amazing! What is this?
User2: This is a Mediterranean Revival-style mansion. You have never been to a mansion before,.
User1: I would love visit there. Where is it located ?
User2: It is located in Oklahoma, United States. The same country you live in.
User1: Interesting. Is this place historic ?
User2: It is, it is a National Historic Landmark, something you wish to see.
User1: When did it become a historic landmark?
User2: It bacame a historic landmark in 1973.
User1: And when was it built ?
User2: It was built in 1928.
User1: Who built this mansion ?",User2: It was built by Ernest Whitworth (E.W.) Marland a oil baron and philanthropist.
I like sports.I love music.I wish I could see an NBA game.I would like to go to a festival.I am a fan of football.,"User1: Wow, this is amazing! What is this?
User2: This is the Alamodome Stadium in San Antonio, Texas. Since you like sports, you may be interested in visiting this place.
User1: Do any of the NBA teams play here?
User2: Not anymore, but the San Antonio Spurs used to play here from 1996 to 2002. Since you wish you could see an NBA game, I´m afraid it will not be possible at the moment.
User1: Do this place host any festivals?
User2: Yes, the Alamodome usually hosts many concerts and festivals. Since you would like to go to a festival, you may like to know that this stadium hosts the Bands of America Super-Regional Championships every year.
User1: Do the Alamodome host any other music event?
User2: Yes, the Alamodome hosts the University Interscholastic League State Marching Band Contest every year.
User1: Do they play soccer in here?
User2: Yes, the Alamodome has hosted American and Mexican soccer events since the 2000´s.
User1: Is there any interesting fact about this place that you could tell me?","User2: Yes, you may be interested in knowing that the first major music event held here was a Paul McCartney´s concert in 1993."
